day,desktop,mobile,all
06/11/17,62.4387288649006,37.56127113509941,18157
06/18/17,60.17248137985104,39.82751862014896,17857
06/25/17,60.483107920075696,39.516892079924304,17967
07/02/17,61.00861688024746,38.99138311975254,18104
07/09/17,54.463130659767145,45.53686934023286,15460
07/16/17,61.36982306047054,38.63017693952946,20572
07/23/17,62.76737637701921,37.23262362298078,20243
07/30/17,60.386883698985606,39.61311630101439,21195
08/06/17,58.15732951494541,41.84267048505459,22348
08/13/17,58.024317424603,41.975682575397,23111
08/20/17,56.63277855210298,43.36722144789702,24394
08/27/17,58.01839060231423,41.98160939768577,22729
09/03/17,52.96725440806045,47.032745591939545,19850
09/10/17,55.802968960863694,44.197031039136306,16302
09/17/17,58.29658496564455,41.70341503435545,19502
09/24/17,56.82266009852217,43.177339901477836,20300
10/01/17,56.489208633093526,43.510791366906474,20850
10/08/17,58.232425620513936,41.76757437948606,18251
10/15/17,55.93651562878604,44.06348437121396,16508
10/22/17,56.697703946672306,43.30229605332769,18902
