day,desktop,mobile,all
09/09/18,41.286307053941904,58.713692946058096,482
09/16/18,51.7557251908397,48.2442748091603,655
09/23/18,58.34767641996558,41.65232358003442,581
09/30/18,42.06896551724138,57.931034482758626,580
10/07/18,44.44444444444444,55.55555555555556,639
10/14/18,62.79527559055118,37.20472440944882,508
10/21/18,59.3984962406015,40.6015037593985,532
10/28/18,56.84647302904564,43.15352697095436,482
11/04/18,61.29032258064516,38.70967741935484,372
11/11/18,56.2992125984252,43.7007874015748,254
