day,desktop,mobile,all
09/09/18,45.46056991385023,54.539430086149764,3018
09/16/18,39.35275080906149,60.64724919093851,3090
09/23/18,40.3233708966193,59.6766291033807,4082
09/30/18,43.43607305936073,56.56392694063926,3504
10/07/18,39.70671178793006,60.29328821206994,3546
10/14/18,47.624810892586986,52.375189107413014,3305
10/21/18,49.6260162601626,50.3739837398374,3075
10/28/18,45.772333432925,54.227666567075,3347
11/04/18,48.56435643564356,51.43564356435644,2020
11/11/18,51.298701298701296,48.701298701298704,616
